id,sail,skipper,boat,color,class,twitter
CL40_27,CL40_27,Paul Hignard,BRUNEAU,654D4C,CLASS40,@PaulHignard
CL40_17,CL40_17,Philippe Fiston,VILLE DE SAINTE ANNE - GUADELOUPE,3FF2A0,CLASS40,
CL40_30,CL40_30,Phillippa Hutton Square,SWISH,A57096,CLASS40,
CL40_28,CL40_28,Pierre-Yves Lautrou,L'EXPRESS - TREPIA,71F56E,CLASS40,@pylencourse
CL40_32,CL40_32,Rodolphe Sepho,VOILES 44,F91918,CLASS40,
CL40_01,CL40_01,Sebastien Rogues,GDF SUEZ,856D5F,CLASS40,@sebrogues
CL40_22,CL40_22,Stephane Le Diraison,IXBLUE - BRS,F6BDB7,CLASS40,@stephlediraison
CL40_08,CL40_08,Thibaut Vauchel-Camus,SOLIDAIRES EN PELOTON,16EB8A,CLASS40,
CL40_19,CL40_19,Thierry Bouchard,WALLFO.COM,953698,CLASS40,@wallfo1
CL40_18,CL40_18,Valentin Lemarchand,MAISON TIREL GUERIN,48546,CLASS40,
CL40_41,CL40_41,Vincent Lantin,LE SLIP FRANCAIS,A3D1DC,CLASS40,
CL40_05,CL40_05,Yannick Bestaven,LE CONSERVATEUR,315510,CLASS40,
RHUM_01,RHUM_01,Andrea Mura,VENTO DI SARDEGNA,BECC57,RHUM,@MuraOfficial
RHUM_02,RHUM_02,Patrick Morvan,ORTIS,D62BF1,RHUM,
RHUM_03,RHUM_03,Wilfrid Clerton,CAP AU CAP LOCATION,71B890,RHUM,@wilfridclerton
RHUM_04,RHUM_04,Charlie Capelle,ACAPELLA,19E607,RHUM,
RHUM_05,RHUM_05,Anne Caseneuve,ANEO,9BE075,RHUM,@ANEOConseil
RHUM_06,RHUM_06,Benjamin Hardouin,KRIT'R V,AA650B,RHUM,@benjatlantique
RHUM_07,RHUM_07,Luc Coquelin,GUADELOUPE DYNAMIQUE,7F3353,RHUM,
RHUM_08,RHUM_08,Julien Mabit,KOMILFO,DBD316,RHUM,@TeamJulienMabit
RHUM_09,RHUM_09,Bob Escoffier,GROUPE GUISNEL,4FD6A0,RHUM,
RHUM_10,RHUM_10,Jean-Paul Froc,GROUPE BERTO,F128C2,RHUM,
RHUM_11,RHUM_11,Robin Knox-Johnston,GREY POWER,B909BB,RHUM,@SirRKJ
RHUM_12,RHUM_12,Willy Bissainte,TRADYSION GWADLOUP,EA42D9,RHUM,@willybissainte
RHUM_13,RHUM_13,Christophe Souchaud,RHUM SOLITAIRE RHUM SOLIDAIRE,8A0323,RHUM,@RhumSolidaire
RHUM_14,RHUM_14,Pierrick Tollemer,ENSEMBLE POUR ENTREPRENDRE,AFC872,RHUM,@PTollemer
RHUM_15,RHUM_15,Nils Boyer,LET'S GO,85860D,RHUM,@NilsBoyer
RHUM_16,RHUM_16,Ari Huusela,NESTE OIL,2E9393,RHUM,@arihuusela
RHUM_17,RHUM_17,Daniel Ecalard,DEFI MARTINIQUE,C6B3FD,RHUM,@Defi972
RHUM_18,RHUM_18,Eric Jail,DEFI CAT,38AC7A,RHUM,
RHUM_19,RHUM_19,Pierre-Yves Chatelin,DESTINATION CALAIS,0FE3C0,RHUM,
RHUM_20,RHUM_20,Ricardo Diniz,PARISASIA.FR,0C7816,RHUM,@OLARICARDODINIZ
