sail,skipper,id,boat,class,color,twitter_skipper1,twitter_skipper2,twitter_sponsor,url_skipper1,url_skipper2,url_sponsor,fb_skipper1,fb_skipper2,fb_sponsor,youtube_skipper1,youtube_skipper2,youtube_sponsor
CL40_AUS64,Michelle Zwagerman / Patrick Conway,CROIX DU SUD,Croix du sud,class40,E4AAAC,,,,,,,,,,,,
CL40_AUT125,Christof Petter / Andreas Hanakamp,VAQUITA,Vaquita,class40,E5F6EF,,,,,,,,www.facebook.com/andreas.hanakamp,,,,
CL40_BEL104,Denis Van Weynbergh / Jean-Edouard Criquioche,PROXIMEDIA - SAUVEZ MON ENFANT,Proximedia,class40,85B3AF,,,Proximedia3,www.denisvw.be,,www.proximedia.be,www.facebook.com/dvanweynbergh,,www.facebook.com/pages/Proximedia-Group/50940892415,,,
CL40_BEL107,Victorien Erussard / Thibaut Vauchel-Camus,SOLIDAIRES EN PELOTON,Solidaires En Peloton,class40,9E0280,erussard,,,,,voile.solidaires-en-peloton.fr,www.facebook.com/victorien.erussard,,www.facebook.com/DefiVoileSolidairesEnPeloton?,,,
CL40_ESP123,Alex Pella / Pablo Santurde,TALES SANTANDER 2014,Tales Santander 2014,class40,D0D961,,,santander2014en,,,www.santander2014.com,,,www.facebook.com/Santander2014MundialVela,,,Santander2014isaf
CL40_FRA10,Eric Darni / Florent Bernard,ECOELEC-FRANTRONIC,Ecoelec – Frantronic,class40,F87C62,,,,,,,facebook.com/eric.darni,,,,,
CL40_FRA101,Halvard Mabire / Miranda Merron,CAMPAGNE DE FRANCE,Campagne de France,class40,A34DD7,,,,www.mabiremerron.com,www.mirandamerron.com,www.francefrais.fr,www.facebook.com/pages/Halvard-Mabire-and-Miranda-Merron-Sailing-team/126461740755474,www.facebook.com/pages/Halvard-Mabire-and-Miranda-Merron-Sailing-team/126461740755474,,,,
CL40_FRA105,Lionel Regnier / Tim Darni Série,APRIL / DELTACALOR,April / Deltacolor,class40,E6F20E,,,,lionelregnier.com,,www.deltacalor.com,www.facebook.com/lionel.regnier.5,www.facebook.com/tim.darni,,,,
CL40_FRA109,Damien Rousseau / Matthieu Alluin,MR BRICOLAGE,Mr Bricolage,class40,6AFA72,Damien_Benjamin,,,,,voile.mr-bricolage.fr,www.facebook.com/pages/Lhistoire-dun-coup-de-main/426048767481268,www.facebook.com/matthieu.alluin,www.facebook.com/pages/Lhistoire-dun-coup-de-main/426048767481268,,,
CL40_FRA119,Bruno Jourdren / Thomas Ruyant,dunkerque plan?te enfants,Dunkerque Planète Enfants,class40,DE26E0,,ThomasRuyant?,,,thomasruyant.com,,,,,,,
CL40_FRA130,Sébastien Rogues / Fabien Delahaye,GDF SUEZ,GDF SUEZ,class40,720FBD,sebrogues,fabiendelahaye,,www.sebastienrogues.com,www.fabiendelahaye.fr,www.gdfsuez.com,www.facebook.com/SebRogues,facebook.com/pages/Fabien-Delahaye/136046703085120,,sebrogues,pietrodali,
CL40_FRA131,Damien Seguin / Yoann Richomme,ERDF-DES PIEDS ET DES MAINS,ERDF - Des pieds et Des mains,class40,FF15A5,sailingdamien,yoannrichomme,,www.damienseguin.fr,www.yoannrichomme.com,www.despiedsetdesmains.fr,www.facebook.com/pages/Damien-Seguin-Voile/187706654664507,www.facebook.com/yoann.richomme.3,,,,
CL40_FRA60,Olivier Roussey / Philippe Burger,OBPORTUS 3,Obportus³,class40,A7DE22,,,,obportus.over-blog.com,,,,,,,,
CL40_FRA65,Louis Duc / Stéphanie Alran,PHOENIX EUROPE,Phoenix Europe,class40,3DC3C7,,,,,,www.phoenix-europe.fr,www.facebook.com/louis.duc.9,www.facebook.com/stefalran,,,,
CL40_FRA79,Bertrand Guillonneau / Sébastien Audigane,MATOUBA,Matouba,class40,ACC819,,,,,,,,www.facebook.com/SebastienAudiganeVoile,,,,
