sail,skipper,id,boat,class,color,twitter_skipper1,twitter_skipper2,twitter_sponsor,url_skipper1,url_skipper2,url_sponsor,fb_skipper1,fb_skipper2,fb_sponsor,youtube_skipper1,youtube_skipper2,youtube_sponsor
CL40_FRA81,Fabrice Amedeo / Armel Tripon,SNCF-GEODIS,Geodis,class40,7D6FF6,FabriceAmedeo?,,,www.reportersdularge.com,www.armeltripon.com,www.reportersdularge.com,www.facebook.com/fabrice.amedeovoile,www.facebook.com/pages/Armel-Tripon/140735302618826,,,,
CL40_FRA85,Jean-Christophe Caso / Aymeric Chappellier,GROUPE PICOTY,Groupe Picoty,class40,6ED21A,,,PicotyEvenement,,,www.picoty.fr,,,,,,
CL40_FRA88,Catherine Pourre / Goulven Royer,e?rwen,Eärwen,class40,BFCF50,,Goulv,,,,,facebook.com/catherine.pourre,www.facebook.com/goulven.royer,,,,
CL40_FRA89,Dominique Rivard / Wilfrid Clerton,MARIE-GALANTE,Marie-Galante,class40,B9EF38,,,,,www.capaucap-location.fr,,,,,CapEstDom,,
CL40_FRA98,Bestaven Yannick / Aurélien Ducroz,watt  and sea r?gion poitou charentes,WATT and SEA Région Poitou Charentes,class40,F3E0F6,,,PolioStop,www.yannickbestaven.fr,,stop-polio.org,www.facebook.com/bestaven.yannick,,www.facebook.com/pages/Stop-Polio/423169864440719,,,
CL40_GBR129,Ned Collier Wakefield / Sam Goodchild,CONCISE 8,Concise 8,class40,241632,NedCW,GoodchildSam,TeamConcise,,www.samgoodchild.com,teamconcise.com,,www.facebook.com/samgoodchildracing,www.facebook.com/teamconcise,,,
CL40_GBR132,Mike Gascoyne / Brian Thompson,CATERHAM CHALLENGE,Caterham Challenge,class40,9F2420,mikegascoyne,briansailing?,,www.caterham.com,brianthompsonsailing.com,www.caterhamchallenge.com,www.facebook.com/gascoynemike,www.facebook.com/pages/Brian-Thompson-Sailing/157715017602464,www.facebook.com/CaterhamChallenge,,,
CL40_GBR90,Hannah Jenner / Rob Windsor,11TH HOUR RACING,11TH Hour racing,class40,506CD1,SailingHan,rwindsor1,team11thhour,www.hannahjenner.com,,team11thhourracing.com,,,team11thhourracing,,,
CL40_GER115,Jörg Riechers / Pierre Brasseur,MARE,Mare,class40,8B434B,,,,,www.ventapparent.fr,www.mare-racingteam.com,,,www.facebook.com/pages/J%C3%B6rg-Riechers-sur-Mare/345863935457787,,,
CL40_ITA117,Gaetano Mura / Sam Manuard,BET 1128,BET1128,class40,E53EA7,gaetanomura,,,www.gaetanomura.com,sam.manuard.free.fr,www.bet1128.com/en-GB/HelpArea/General-Help/Bet1128SailingTeam.aspx,www.facebook.com/pages/Gaetano-Mura-pagina-ufficiale/145441278841496,,,gaetanomura,,
CL40_ITA126,Stefano Raspadori / Pietro D'Ali,FANTASTICA,Fantastica,class40,FD022D,,,,,www.pietrodali.com,,,www.facebook.com/pages/Pietro-DAl%C3%AC-pagina-ufficiale/344417685258,,,,
IMOCA_FRA001,Jérémie Beyou / Christopher Pratt,MAITRE COQ,Maitre CoQ,imoca,f10200,JeremieBeyou,ChrismarSail,,www.jeremie-beyou.com,christopher-pratt.com,www.maitrecoq.fr/voile,www.facebook.com/pages/J%C3%A9r%C3%A9mie-Beyou-en-course/177074065660995,www.facebook.com/christopher.pratt.94,,,,
IMOCA_FRA25,Marc Guillemot / Pascal Bidégorry,SAFRAN,Safran,imoca,eb6c39,,,,,,,,,www.facebook.com/SafranSailingTeam,,,
IMOCA_FRA301,François Gabart / Michel Desjoyeaux,MACIF,Macif,imoca,0b2e82,francoisgabart,,Macif60,,,,,,,,,
IMOCA_FRA35,Louis Burton / Guillaume Le Brec,BUREAU VALLEE,Bureau vallée,imoca,1e9436,,GuillaumeLeBrec,,,,www.bureau-vallee.fr,www.facebook.com/LouisBurtonautourdumonde,www.facebook.com/Lebrec.Guillaume,,,,
IMOCA_FRA44,Alessandro Di Benedetto / Alberto Monaco,TEAM PLASTIQUE,Team Plastique,imoca,558a42,,,Team_Plastique,,,,,,,,,
IMOCA_FRA62,Bertrand de Broc / Arnaud Boissières,VOTRE NOM AUTOUR DU MONDE,Votre nom autour du monde pour Unicef,imoca,bf9c7c,BertranddeBroc,,,,,,,,,,,
IMOCA_FRA72,Tanguy de Lamotte / François Damiens,initiatives-c?ur,Initiatives Coeur,imoca,cc0107,TanguyDeLamotte,lembrouillecom,initiativecoeur,,www.lembrouille.com,www.initiatives-coeur.fr,www.facebook.com/TanguyDeLamotte.SkipperDuCoeur?,www.facebook.com/francois.damiens.lembrouille,www.facebook.com/initiativescoeur,,,initiativestv
IMOCA_FRA85,Vincent Riou / Jean Le Cam,PRB,PRB,imoca,fe640a,Vincent_Riou,,,,www.jeanlecam.fr,,,,,,,
IMOCA_POL2,Zbigniew Gutkowski / Maciej Marczewski,ENERGA,Energa,imoca,c86347,,,EnergaSailing,polishoceanracing.com.pl,,energasailing.pl,www.facebook.com/zbigniew.gutkowski,,www.facebook.com/EnergaSailing,,,
IMOCA_SUI2012,Bernard Stamm / Philippe Legros,CHEMINEES POUJOULAT,Cheminées Poujoulat,imoca,fac200,Poujoulat_Stamm,,,www.bernard-stamm.com,,poujoulat.bernard-stamm.com,www.facebook.com/PoujoulatBernardStamm,www.facebook.com/philippe.legros.50,,,,
MOD70_04,Sébastien Josse / Charles Caudrelier,EDMOND DE ROTHSCHILD,Edmond de Rothschild,mod70,00117D,,,GitanaTeam,,www.charlescaudrelier.com,www.gitana-team.com,,www.facebook.com/Charles.Caudrelier,,,,
MOD70_07,Sidney Gavignet  / Damian Foxall,OMAN AIR MUSANDAM,Oman Air - Musandam,mod70,004DC8,sidneygavignet,,OmanSail,www.sidneygavignet.com,,gomusandam.com,www.facebook.com/sidney.gavignet,,www.facebook.com/OmanSail,,,
MULTI50_FRA2,Loïc Féquet / Loic Escoffier,MAITRE JACQUES,Maître Jacques,multi50,AC955B,,,MaitreJacques50,,,www.voile.maitre-jacques.fr,,www.facebook.com/loic.escoffier.79,www.facebook.com/Trimaran.Maitre.Jacques,,,
MULTI50_FRA3,Erwan Le Roux / Yann Elies,FENETREA CARDINAL,FenêtreA Cardinal,multi50,DE973F,,,FenetreaCardina,,,www.fenetreacardinal.com,,,,,,
MULTI50_FRA35,Gilles Lamiré / Nils Boyer,RENNES METROPOLE / SAINT-MALO AGGLOMERATION,Rennes Métropole / Saint-Malo Agglomération,multi50,4144AF,,,,www.defi-nautic.fr,,www.stmalo-agglomeration.fr,,,www.facebook.com/defi.saint.malo.agglo,,,
MULTI50_FRA53,Yves le Blévec / Kito de Pavant,ACTUAL,Actual,multi50,C739F3,,,,www.yvesleblevec.com,www.kitodepavant.com,www.teamactual.eu,www.facebook.com/yves.leblevec.3,www.facebook.com/pages/Kito-de-Pavant-/114467841916397,www.facebook.com/TeamACTUAL,,,
MULTI50_FRA56,Erik Nigon / Samy Villeneuve,VERS UN MONDE SANS SIDA,Vers un monde sans SIDA,multi50,9E3B16,,,,,,www.axaatoutcoeur.aides.org,www.facebook.com/erik.nigon,www.facebook.com/samy.villeneuve,www.facebook.com/pages/Le-Voilier-au-Ruban-Rouge/189663736051,,,
MULTI50_FRA98,Lalou Roucayrol / Mayeul Riffet,ARKEMA - Region Aquitaine,Arkema-Région Aquitaine,multi50,37041F,vincent_olivaud,,,laloumulti.fr,,www.arkema.com,www.facebook.com/LalouMulti,,,,,
