id,sail,skipper,boat,color,class,twitter,twitter2
566,FRA566,François Lamy,Pannacota,980603,serie,,
568,ITA568,Federico Fornaro,Raw News - Jolie Rouge,A56021,serie,,
571,FRA571,Marc Dubos,Cepat,CAEF60,serie,,
585,HUN585,Aron Meder,Felicity II,DE8DB1,serie,,
586,FRA586,Erwan Pellen,Mordilou,AD34A4,serie,,
587,RSA587,Craig Horsfield,Pepen,500A1B,serie,,
590,BEL590,Jonas Gerckens,Elect-Râ,C64830,serie,,
591,FRA591,Florian Blanchard,MC Technologies,4C6B7F,serie,,
599,FRA599,Tanguy Le Turquais,Reve d'enfance / Terreal,CF68B2,serie,,
600,ITA600,Davide Lusso,Monster,57C4DD,serie,,
602,NED602,Robert Rosen Jacobson,NED 602,252164,serie,,
603,FRA603,Jean-Loup Chenard,Istuardo,E38189,serie,,
607,FRA607,Jean-Baptiste Lemaire,Œuvre Du Marin Breton,EBF339,serie,,
633,FRA633,Florian Mausy,Foksaglisse,654D4C,serie,,
635,FRA635,Raphaël Marchant,Soreal Ilou,3FF2A0,serie,,
648,BEL648,Sofie De Clercq,Ville de Marseillan,A57096,serie,,
655,CAN655,Diane Reid,One Girl's Ocean Challenge,71F56E,serie,,
682,ITA682,Andrea Iacopini,Umpalumpa,F91918,serie,,
686,FRA686,Yoann Tricault,Schlüter Systems,856D5F,serie,,
692,FRA692,Yannick Le Clech,Diaoulic,F6BDB7,serie,,
737,FRA737,Julien Marcelet,Region Nord Pas De Calais,16EB8A,serie,,
739,FRA739,Arnaud Etchandy,Adelaide 2,953698,serie,,
743,GBR743,Pip Hare,The potting shed,48546,serie,,
744,FRA744,Bruno Simonnet,El Nono,A3D1DC,serie,,
745,FRA745,Damien Audrain,Stered Lostek,315510,serie,,
755,FRA755,Pierre-François Dargnies,Jac Da,0FE3C0,serie,,
774,FRA774,Jean-Marie Oger,Acebi,BECC57,serie,,
785,AUS785,Katrina Ham,Seanergy,D62BF1,serie,,
810,FRA810,Aymeric Belloir,Tout le monde chante contre le cancer,71B890,serie,,
816,AUS816,Richard Hewson,RG 6 50 Hewson Racing,19E607,serie,,
819,SUI819,Simon Koster,GO4IT,9BE075,serie,,
821,BEL821,Bert Bossyns,Netwerk,AA650B,serie,,
824,SUI824,Justine Mettraux,Team Work,7F3353,serie,,
832,FRA832,Eric Cochet,Abers & Co,DBD316,serie,,
833,FRA833,Damien Cloarec,Damien Cloarec cherche sponsors,4FD6A0,serie,,
835,ESP835,Joel Miro,Dame Argo,F128C2,serie,,
502,FRA502,Pascal Braud,13 Au Large,B909BB,serie,,
438,GBR438,Nikki Curwen,Artemis,EA42D9,serie,,
516,FRA516,Sylvain Pontu,Positif,8A0323,serie,,
836,FRA836,Hervé Aubry,Voilerie Herve Sail Design,AFC872,serie,,
219,FRA219,Julien Bozzolo,Mariole,85860D,serie,,
788,FRA788,Louis-Marie Billot,Chacahe,2E9393,serie,,
838,RUS838,Yury Firsov,Magnum Sport,C6B3FD,serie,,
